id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
217499,OBSERVATORIO VIAL,2024-07-27,2:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,QUINQUELA MARTIN,743,GIMENEZ,LAFERRERE,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,S/D,S/D,S/D,Noche,NO,,Despejado,,,Sin Semáforo
224937,OBSERVATORIO VIAL,2024-07-27,8:45:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,SAN LORENZO,800,9 DE julio,,,,2,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
231749,OBSERVATORIO VIAL,2024-07-27,22:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV 3 DE ABRIL,1000,LA RIOJA,SAN JUAN,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Mitad de la calle / avenida,,,,,,Apto,Seca,,Otro,,Asfalto,,Si,Si,No,Noche,NO,,Despejado,,,S/D
223345,OBSERVATORIO VIAL,2024-07-22,20:50:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV LIBERTAD,5200,,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,S/D,Noche,NO,,,,,Sin Semáforo
233239,OBSERVATORIO VIAL,2024-07-19,22:24:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,GUEMES,1500,,,-2.747.819,-5.880.731,0,1,0,1,0,Caída desde vehículo,Caída desde vehículo,,,,1,,Intersección / cruce,,,S/D,Asfalto,,Apto,,,Ninguna,,S/D,,S/D,S/D,S/D,Noche,NO,,Despejado,,,S/D
232115,OBSERVATORIO VIAL,2024-07-17,22:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,9 DE julio,1700,ESPAÑA,,-2.746.705,-5.882.910,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Sin Semáforo
230861,OBSERVATORIO VIAL,2024-07-10,19:48:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV FERRE,2300,PERU,,-2.747.734,-5.882.246,0,1,0,1,0,Colisión entre vehículos,Colisión entre vehículos,,,,1,,Intersección / cruce,,,S/D,,,Apto,Seca,,Otro,,,,Si,Si,,Noche,NO,,Despejado,,,Sin Semáforo
224096,OBSERVATORIO VIAL,2024-07-09,12:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,ITUZAINGO,1000,HIPOLITO YRIGOYEN,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
218235,OBSERVATORIO VIAL,2024-07-08,20:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV CHACABUCO,1300,BELGRANO,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Noche,NO,,Despejado,,,Sin Semáforo
231658,OBSERVATORIO VIAL,2024-07-08,15:20:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV INDEPEMDENCIA,5400,DUMAS,,-2.748.431,-5.878.537,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Otro,,Asfalto,,Si,Si,No,Día,,,Despejado,,,Funciona
